__OBJECTID,Park,UNIT_CODE,LATITUDE,LONGITUDE,REGION,State,Total,Over_500,Outside_Park,Fatality,Ill_or_Injured,Not_Ill_or_Injured,Unfounded,Save,Lake,Land,Ocean,River,00_12_Years_Old,13_19_Years_Old,20_29_Years_Old,30_39_Years_Old,40_49_Years_Old,50_59_Years_Old,Over_60_Years_Old,Unknown_AGE,AGE_Animal,Male,Female,Unknown_SEX,NPS_Programmed_Hours,NPS_Non_Programmed_Hours,Non_NPS_Hours,NPS_Programmed_Dollars,NPS_Non_Programmed_Dollars,Non_NPS_Dollars,NPS_Air_Operations_Costs,Military_Air_Operations_Costs,Other_Air_Operations_Costs,NPS_Vessel_Costs,Military_Vessel_Costs,Other_Vessel_Costs,Supplies_Other_Costs,Year,x,y,Recreational Visits,Non-Recreational Visits,Recreational Hours,Non-Recreational Hours,Concessioner Lodging,Concessioner Camping,Tent Overnights,RV Overnights,Backcountry Overnights,Non-recreational Overnights,Misc. Overnights
1,Olympic NP,OLYM,47.7946,-123.6183,PWR,WA,64,18,3,5,42,61,1,21,3,43,14,3,2,9,20,17,5,9,13,10,0,55,29,4,1224,1154,515,32793.2,44289.48,800,14385.57,365367.04,13762,0,0,0,4169.13,2018,-123.618345286498,47.7945655042479,3104455,728811,17574425,298579,71958,11222,162192,77436,128134,0,218
2,Acadia NP,ACAD,44.3507,-68.2441,NER,ME,37,5,0,0,32,13,0,0,2,31,4,0,3,5,7,2,6,13,5,0,0,15,26,0,427,228,0,10113.39,8460.35,0,0,0,0,50,0,0,167.11,2018,-68.2441099565202,44.3507318087357,3537575,47100,23613754,47100,0,1364,144744,58215,1472,0,11698
3,Agate Fossil Beds NM,AGFO,42.4215,-103.744,MWR,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-103.743998986185,42.4214718592082,16238,0,38884,0,0,0,0,0,0,0,0
4,All Fish and Wildlife,NCRO,38.876403,-77.033566,NCR, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,-77.0335659900284,38.8764029691558,0,0,0,0,0,0,0,0,0,0,0
5,Allegheny Portage Railroad NHS,ALPO,40.4468,-78.5319,NER,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-78.5318609320142,40.4467713766072,189047,180,289774,48,0,0,0,0,0,0,0
6,Amistad NRA,AMIS,29.5748,-101.2959,IMR,TX,3,0,0,0,0,3,0,0,3,0,0,0,1,1,3,1,1,0,0,0,,6,1,0,27,6,0,268,135.38,0,0,0,0,0,0,0,0,2018,-101.295934608078,29.5747905927302,1111770,1128,8127236,1128,0,0,0,6629,0,0,870
7,Andrew Johnson NHS,ANJO,36.1554,-82.8381,SER,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-82.8381405114836,36.1553630492266,50671,0,26996,0,0,0,0,0,0,0,0
8,Antietam NB,ANTI,39.4701,-77.7381,NCR,MD,4,0,0,0,0,4,0,0,0,4,0,0,1,1,0,0,0,0,0,2,,1,3,0,0,4,0,0,400,0,0,0,0,25,0,0,0,2018,-77.7380517852935,39.4701067162908,326197,0,740791,0,0,0,0,0,0,0,403
9,Apostle Islands NL,APIS,46.9367,-90.5796,MWR,WI,4,1,4,4,2,10,1,0,8,0,0,0,3,0,1,3,0,1,1,8,,9,3,10,22,72,0,747,3009,0,0,0,0,3300,0,0,0,2018,-90.5795566270168,46.9367161632255,252920,780,826760,195,0,0,0,0,10972,0,6040
10,Appalachian National Scenic Trail,APPA,37.3518,-80.3811,NER,ME,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-80.3810768108605,37.3517545549982,0,0,0,0,0,0,0,0,0,0,0
11,Arches NP,ARCH,38.7225,-109.5863,IMR,UT,94,19,1,2,56,108,4,1,0,95,0,0,1,7,23,9,7,10,29,84,,53,46,70,752,694,0,18097,26041,0,0,0,0,0,0,0,3244,2018,-109.586349821294,38.7225386177757,1663557,0,5906859,0,0,0,17938,16157,368,0,3711
12,Badlands NP,BADL,43.834,-102.3939,MWR,SD,16,0,1,0,11,5,0,16,0,16,0,0,1,1,1,1,0,0,1,11,0,1,3,12,0,0,0,1340,800,0,0,0,0,0,0,0,0,2018,-102.393945110363,43.8340022357184,1008942,105109,4292825,52554,9375,13830,2920,778,2926,0,0
13,Big Bend NP,BIBE,29.2973,-103.2295,IMR,TX,38,10,1,3,24,31,1,2,0,35,0,4,2,3,10,3,3,5,13,20,0,31,18,10,701,462,6,17995.59,17243.54,60,1005,0,0,0,0,0,1514.25,2018,-103.229470222248,29.2972551416237,440091,2364,10353573,7092,48065,13060,55863,33209,23858,0,37299
14,Big Cypress NPRES,BICY,25.9704,-81.0812,SER,FL,9,1,3,2,1,12,1,13,0,9,0,0,2,0,2,0,0,0,1,11,0,7,1,8,37,3,46,996,126,1460,0,0,7000,0,0,0,0,2018,-81.0811527763958,25.9704328826112,794350,0,2445823,0,0,0,1686,5772,3196,0,0
15,Big South Fork NRRA,BISO,36.5347,-84.6651,SER,TN,26,9,0,1,8,61,0,2,0,24,0,2,3,7,24,10,9,3,3,12,0,34,28,9,222,245,101,6835,10270,0,0,0,0,0,0,0,2936,2018,-84.665121739575,36.5346656129163,760906,0,5421125,0,1813,0,6934,35785,9236,0,3439
16,Big Thicket NPRES,BITH,30.3409,-94.2316,IMR,TX,1,0,1,0,0,6,0,6,0,1,0,1,0,0,1,0,1,0,0,0,0,4,2,0,4,4,16,140,160,350,0,0,0,25,0,0,100,2018,-94.2316201345204,30.3408750720204,221514,0,801529,0,0,0,0,0,1765,0,0
17,Biscayne NP,BISC,25.4905,-80.2102,SER,FL,5,1,0,0,0,9,0,9,0,0,5,0,0,1,3,1,0,1,2,0,,7,1,0,7,17,0,355.59,768.51,0,0,7671,0,862.5,0,0,3350,2018,-80.2102469780569,25.4904947264702,469253,0,1573531,0,0,0,2119,0,0,0,4788
18,Black Canyon of the Gunnison NP,BLCA,38.5791,-107.7257,IMR,CO,7,3,0,0,7,4,0,7,0,7,0,0,0,2,6,0,2,0,0,1,,7,4,0,48,65,0,3358.35,0,0,0,0,0,0,0,0,3464.34,2018,-107.725723092551,38.5790608233592,308962,0,1847721,0,0,0,19527,12531,2088,0,0
19,Blue Ridge PKWY,BLRI,36.4365,-81.0706,SER,NC,27,3,0,3,12,15,1,5,0,24,0,3,4,2,5,2,5,4,3,4,,9,21,1,101,69,266,835,2956.53,0,0,0,0,0,0,400,0,2018,-81.070564693468,36.4364986079318,14690418,1942260,91495598,971136,47836,0,55864,33736,982,0,1294
20,Buffalo NR,BUFF,35.9686,-92.9181,MWR,AR,28,5,2,1,21,55,0,22,0,17,0,11,0,4,13,11,3,9,1,0,0,16,12,0,97,249,368,2976,9825,1958,0,0,0,0,0,0,1088,2018,-92.9181061311952,35.9686439846397,1240119,0,6363931,0,2804,0,41542,13695,22062,0,10973
21,Canaveral NS,CANA,28.7862,-80.7541,SER,FL,6,2,0,1,0,4,1,4,0,0,2,4,2,0,1,2,3,0,0,4,,8,3,0,18,5,0,0,0,0,0,0,0,0,0,0,0,2018,-80.7541233430003,28.7862473434069,1657855,0,4206368,0,0,0,0,0,2965,0,0
22,Cane River Creole NHP,CARI,31.6644,-93.0073,SER,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-93.0072987777771,31.6644416468347,26879,0,53758,0,0,0,0,0,0,0,0
23,Canyon de Chelly NM,CACH,36.094,-109.3401,IMR,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-109.340067343674,36.0940475624294,439306,634575,2970397,1269151,15665,12190,0,0,25,0,0
24,Canyonlands NP,CANY,38.2431,-109.877,IMR,UT,30,10,3,0,16,22,1,1,0,27,0,3,0,4,10,3,5,2,9,0,,25,8,0,224,220,5,5500,8281,0,0,0,0,0,0,0,692,2018,-109.876962181892,38.2431403604609,739449,0,5301793,0,0,0,13221,10517,78375,0,416
25,Cape Cod NS,CACO,41.9605,-70.0052,NER,MA,34,0,0,1,0,0,1,3,0,29,5,0,0,0,0,0,0,0,0,33,,0,0,33,40,0,8,2000,0,0,0,0,0,0,0,0,0,2018,-70.0051942787982,41.9604632548738,3926462,29548,7666603,177288,3559,0,0,0,0,0,6879
26,Cape Hatteras NS,CAHA,35.2424,-75.5312,SER,NC,2,0,18,0,3,0,0,1,0,2,16,0,6,1,0,0,3,1,0,16,,4,4,22,8,0,0,0,0,0,0,0,0,0,0,0,0,2018,-75.5311935051364,35.242412012086,2591056,135347,11343751,412879,0,0,40813,38083,0,456,4782
27,Cape Lookout NS,CALO,34.9582,-76.19,SER,NC,3,0,0,1,2,2,0,2,0,1,2,0,0,0,2,2,0,1,0,0,0,4,1,0,6,8,17,64,320,137.5,0,0,0,80,0,73,0,2018,-76.1900392245819,34.9582442407931,408399,4800,1778864,14400,5332,0,0,0,262,0,0
28,Capitol Reef NP,CARE,38.3836,-111.283,IMR,UT,4,1,0,0,3,1,0,0,0,4,0,0,0,0,2,1,0,1,0,0,,4,0,0,0,0,0,250,600,0,0,0,0,0,0,0,350,2018,-111.283003557797,38.3835528318095,1227627,55435,1919904,55435,0,0,24822,27143,4048,0,2445
29,Carlsbad Caverns NP,CAVE,32.1409,-104.5531,IMR,NM,44,0,0,0,47,0,0,0,0,47,0,0,1,1,1,2,2,3,28,26,0,16,13,22,140,20,0,4900,700,0,0,0,0,0,0,0,23500,2018,-104.553136266262,32.1409252122301,465912,0,1796367,0,0,0,0,0,184,0,0
30,Chaco Culture NHP,CHCU,36.0449,-107.9482,IMR,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-107.948152784095,36.0449219143888,57781,10560,681060,10560,0,0,7805,7896,0,0,2036
31,Chamizal NMEM,CHAM,31.7673,-106.4544,IMR,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-106.454401071659,31.7672962833793,66479,48995,87815,171482,0,0,0,0,0,0,0
32,Channel Islands NP,CHIS,34.0166,-119.7397,PWR,CA,15,0,0,0,9,0,1,5,0,8,7,0,0,1,1,2,1,1,3,6,,10,2,3,36,31,83,1700,1690,3470,0,0,124608,10000,0,49896,0,2018,-119.739650756698,34.0165512410431,366250,5863,3725066,140712,0,0,0,0,21463,9166,18543
33,Chattahoochee River NRA,CHAT,33.9724,-84.2668,SER,GA,8,0,0,2,2,4,0,4,0,1,0,7,0,0,7,0,0,0,1,0,,6,2,0,40,5,40,2000,500,1000,0,0,0,2000,0,2000,250,2018,-84.2667647251474,33.9724105618406,2873866,0,11495461,0,0,0,0,0,0,0,0
34,Chesapeake & Ohio Canal NHP,CHOH,39.5997,-77.9448,NCR,DC,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,120,0,0,0,0,0,0,0,0,2018,-77.9448418975726,39.5996516109884,4438818,11880,9366756,11880,0,0,22407,545,0,0,2986
35,Chickamauga & Chattanooga NMP,CHCH,34.919,-85.254,SER,GA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2018,-85.2540118749219,34.9189690006206,945962,2101523,1851195,315227,0,0,0,0,0,0,1932
36,Chickasaw NRA,CHIC,34.4605,-97.0072,IMR,OK,2,1,0,1,1,4,0,0,2,1,0,0,2,1,1,1,0,0,0,0,0,4,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2018,-97.0071580730992,34.4604937769309,1477906,1640554,6816236,131244,0,0,73441,52746,0,0,28000
37,Chiricahua NM,CHIR,32.0121,-109.3416,IMR,AZ,6,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,,0,0,6,40,2,0,1500,0,0,0,0,0,0,0,0,1500,2018,-109.341606517082,32.0121410183528,60577,3600,327442,1200,0,0,5793,6604,0,0,1546
38,Colonial NHP,COLO,37.2825,-76.6345,NER,VA,2,0,1,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,3,0,0,11,13,180,324.25,445,4500,0,2000,0,0,0,800,0,2018,-76.6345473663941,37.2824610656309,3294224,2108599,3439928,1054301,0,0,0,0,0,0,0
39,Congaree NP,CONG,33.7919,-80.7487,SER,SC,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,2,0,6,8,70,120,240,1050,0,0,0,0,0,0,0,2018,-80.7486654488286,33.7918678160233,145929,0,622647,0,0,0,0,0,1023,0,8220
40,Cowpens NB,COWP,35.1316,-81.8094,SER,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-81.8093540053301,35.1316059456096,189410,0,186319,0,0,0,0,0,0,0,226
41,Crater Lake NP,CRLA,42.9411,-122.1327,PWR,OR,9,4,0,0,5,4,0,5,1,8,0,0,0,2,1,3,2,0,1,0,0,6,3,0,165,100,0,4249.64,3447.96,0,0,0,0,0,0,0,2739.98,2018,-122.132747222569,42.9410657437491,720659,49600,4103920,24800,34647,42039,6739,0,2584,0,0
42,Cumberland Island NS,CUIS,30.8585,-81.4525,SER,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-81.4525338319988,30.8585266259701,55650,0,951180,0,0,0,22644,0,4550,0,0
43,Curecanti NRA,CURE,38.4629,-107.1673,IMR,CO,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,2,0,,5,2,2,9,0,0,500,0,0,0,0,0,100,0,0,0,2018,-107.167339115432,38.4628502070175,931512,0,4335148,0,0,0,20752,46040,614,0,4277
44,De Soto NMEM,DESO,27.5227,-82.6434,SER,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-82.6433541371885,27.5227261475186,210993,0,348139,0,0,0,0,0,0,0,0
45,Death Valley NP,DEVA,36.4839,-117.1326,PWR,CA,27,2,1,2,8,28,5,17,0,27,0,0,1,4,9,5,2,4,1,5,,25,5,5,164,175,55,3783.2,6160.03,1914.47,0,0,0,0,0,0,250,2018,-117.132627782267,36.4839306494879,1678660,66206,11753292,99305,33211,2548,78970,97563,1485,0,459
46,Delaware Water Gap NRA,DEWA,41.1003,-74.9573,NER,PA,41,4,5,5,21,18,0,0,0,27,0,17,1,2,8,5,4,9,9,10,,26,14,7,298,309,204,9212.73,15236.82,83.43,0,0,0,0,0,0,21.16,2018,-74.9572891551907,41.1002803251654,3261921,54000,13988573,27000,0,8701,0,0,14690,0,23654
47,Devils Tower NM,DETO,44.5906,-104.7156,IMR,WY,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-104.715634224805,44.5906456369355,468216,3139,1401056,1571,0,0,7674,9660,0,0,0
48,Dinosaur NM,DINO,40.506,-108.9377,IMR,CO,5,0,1,0,2,2,1,3,0,5,0,0,0,0,1,3,1,0,0,0,0,2,3,0,37,22,24,843.88,723.79,0,0,0,0,0,0,0,0,2018,-108.937702765101,40.5059664364939,304468,732,1745599,732,0,0,17441,15135,30761,0,5441
49,Thomas Edison NHP,EDIS,40.786,-74.2398,NER,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-74.2398209972711,40.7859707438123,47297,0,65648,0,0,0,0,0,0,0,0
50,Effigy Mounds NM,EFMO,43.0915,-91.2078,MWR,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-91.2077710529152,43.0914576453415,55576,1200,138939,204,0,0,0,0,0,0,0
51,El Morro NM,ELMO,35.039,-108.3464,IMR,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.5,2018,-108.346398407428,35.0389588696684,65453,13619,213063,4495,0,0,2538,1786,0,0,0
52,Everglades NP,EVER,25.3722,-80.8818,SER,FL,12,5,4,0,9,2,1,14,0,3,9,0,0,6,8,2,0,5,4,1,,18,7,1,38,24,6,1377.52,1254.37,40,0,23221.5,7756.5,2300,0,0,0,2018,-80.881823981035,25.372167592946,597124,6000,2555012,27000,0,8440,0,0,4391,0,18
53,Fire Island NS,FIIS,40.6918,-72.9944,NER,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-72.9943522207613,40.6918296298484,305710,220362,1063841,661086,0,405,0,0,3045,0,15686
54,Fort Donelson NB,FODO,36.4873,-87.8609,SER,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-87.8608830340696,36.4872822557863,168986,497440,112714,16416,0,0,0,0,0,0,7
55,Fort Frederica NM,FOFR,31.2236,-81.3898,SER,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-81.3898425642768,31.2235551116873,183591,1800,185290,444,0,0,0,0,0,0,0
56,Fort Larned NHS,FOLS,38.18449077,-99.21697509,MWR,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-99.2169751343075,38.1844907406488,29173,0,58346,0,0,0,0,0,0,0,0
57,Fort McHenry NM & HS,FOMC,39.264,-76.5804,NER,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-76.5804416571685,39.2639531425016,486113,720,729168,360,0,0,0,0,0,0,0
59,Fort Necessity NB,FONE,39.81,-79.5887,NER,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-79.5886906853813,39.8100374744379,280970,120,400839,48,0,0,0,0,0,0,503
60,Fort Raleigh NHS,FORA,35.9364,-75.7094,SER,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-75.7093876368077,35.9363682494461,261198,1344,377784,1344,0,0,0,0,0,0,0
61,Fort Scott NHS,FOSC,37.8436,-94.7043,MWR,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-94.7042917181312,37.843588456943,26482,221,39722,73,0,0,0,0,0,0,0
62,Fort Sumter and Fort Moultrie NHP,FOSU,32.7536,-79.8793,SER,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-79.8793336785305,32.753594268202,859880,0,2073539,0,0,0,0,0,0,0,2
63,Fort Union NM,FOUN,35.9074,-105.012,IMR,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-105.012017362788,35.9073707198111,10860,240,12816,24,0,0,0,0,0,0,0
64,Fredericksburg & Spotsylvania NMP,FRSP,38.3036,-77.7388,NER,VA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-77.7387668442596,38.3036387367006,926464,1419555,418115,176716,0,0,0,0,0,0,0
65,Friendship Hill NHS,FRHI,39.77545488,-79.92528004,NER,PA,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,2018,-79.9252800798619,39.7754549074248,41678,0,95679,0,0,0,0,0,0,0,0
66,Gateway NRA,GATE,40.6185,-73.861,NER,NY,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,,2,0,0,50,0,0,2500,0,0,0,0,0,0,0,0,0,2018,-73.8610447407546,40.6185496841615,9243305,1241829,25588209,2483658,0,0,14584,2488,0,0,2052
67,George Washington Birthplace NM,GEWA,38.1897,-76.9198,NER,VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-76.9198093611599,38.1897348094201,111058,7200,343841,7200,0,0,0,0,0,0,0
68,Gettysburg NMP,GETT,39.8043,-77.2385,NER,PA,5,0,0,0,1,4,1,1,0,5,0,0,0,2,1,2,0,0,0,0,,5,0,0,0,15,0,0,406,0,0,0,0,0,0,0,0,2018,-77.238469819874,39.8042848929,949989,74400,4174986,12348,0,0,0,0,0,0,7745
69,Glacier Bay NP & PRES,GLBA,58.7914,-136.8109,AKR,AK,13,1,0,4,4,16,17,0,1,3,8,1,1,1,1,4,1,7,10,16,0,22,5,14,66,118,9,1469.62,5470.94,3295.02,0,0,65497.3,765.25,0,0,200,2018,-136.810929707561,58.7914394795694,597915,644,7703301,95060,12475,0,783,0,5840,3845,17668
70,Glacier NP,GLAC,48.7468,-113.8584,IMR,MT,76,10,0,1,70,14,4,0,3,72,0,1,2,4,8,4,5,7,20,37,,35,22,30,132,277,0,2965,12000,0,0,0,0,0,0,0,1650,2018,-113.858410056308,48.7468002469488,2965309,13532,32211332,118373,107156,0,110507,109566,32349,0,1178
71,Glen Canyon NRA,GLCA,37.3977,-110.8021,IMR,UT,91,13,1,4,4,23,0,3,12,9,0,0,3,4,8,11,2,4,5,0,,23,10,0,778,495,298,19002.55,14568.44,0,2192.5,0,0,2375.54,0,0,0,2018,-110.802127570865,37.3976681718314,4219441,32447,45072951,389354,71334,91046,11451,4969,11023,0,734127
72,Golden Gate NRA,GOGA,37.8589,-122.5511,PWR,CA,37,0,0,10,2,31,0,31,0,9,22,0,1,7,6,3,2,1,2,6,6,15,5,3,46,0,112,1518,0,4480,0,0,0,0,0,0,0,2018,-122.551128044006,37.8588767641668,15223697,0,40177286,0,42009,0,3963,0,258,0,7200
73,Grand Canyon NP,GRCA,36.1865,-112.1853,IMR,AZ,265,192,6,9,239,90,4,11,0,245,0,10,2,22,35,28,34,54,84,6,0,172,88,3,3129,2291,17,78108,74588,254,288960,0,0,500,0,0,2900,2018,-112.18525400185,36.1865451527708,6380495,23748,100506766,23748,663982,38829,139004,68000,337790,0,27947
74,Grand Teton NP,GRTE,43.8182,-110.7055,IMR,WY,60,37,6,7,35,45,14,2,2,59,0,3,3,11,25,16,8,9,24,0,,64,32,0,628,1465,233,15995.44,61354.88,5569.07,23658.61,0,8875.25,0,0,0,8467.95,2018,-110.705487710914,43.8181601184302,3491151,1617873,19176275,1617873,86797,320111,0,0,38803,0,586
75,Great Sand Dunes NP & PRES,GRSA,37.7766,-105.6289,IMR,CO,6,1,0,0,5,0,1,0,0,6,0,0,0,0,3,1,2,0,0,0,,6,0,0,30,15,0,5000,650,0,0,0,0,0,0,0,500,2018,-105.628888222605,37.7765525908153,442905,470,2486557,470,0,0,29832,19665,4475,0,7644
76,Great Smoky Mountains NP,GRSM,35.6093,-83.5263,SER,NC,98,42,9,3,83,39,0,2,0,93,0,5,3,10,19,16,15,20,24,0,0,54,61,0,7577,5027,2914,278697.88,195067.52,60656.85,0,90000,0,200,0,0,71388.38,2018,-83.5262753516102,35.6092747083187,11421200,10544377,83657339,5272190,11163,0,152167,113649,97593,0,20105
77,Guadalupe Mountains NP,GUMO,31.9233,-104.8844,IMR,TX,13,1,0,0,7,14,2,8,0,13,0,0,1,0,2,1,2,2,2,0,,5,6,0,74,112,14,1727.22,1468.97,0,0,0,0,0,0,0,100,2018,-104.884356070963,31.9233495146997,172347,0,507354,0,0,0,10693,6437,3509,0,1390
78,Guilford Courthouse NMP,GUCO,36.133,-79.8419,SER,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-79.8418680921333,36.1330178269511,236016,4290278,147679,35610,0,0,0,0,0,0,11
79,Gulf Islands NS,GUIS,30.3731,-86.91,SER,FL,29,0,0,1,1,7,0,24,0,3,26,0,5,1,4,0,3,0,2,2,0,3,7,2,2,2,8,250,50,80,0,0,0,100,0,800,0,2018,-86.9099650120264,30.3730633464649,4229968,107041,13060901,20621,0,0,36813,119487,0,0,4772
80,Harpers Ferry NHP,HAFE,39.3129,-77.742,NCR,WV,5,5,3,0,3,4,1,0,0,5,0,3,0,1,0,0,0,1,0,2,,1,3,1,10,1,0,500,35,0,0,0,0,0,0,0,0,2018,-77.7419553245291,39.3128615293893,265737,0,1062940,0,0,0,0,0,0,0,0
